"","trial","estimate.Estimate","estimate.Std. Error","estimate.z value","estimate.Pr(>|z|)"
"(Intercept)","Omitting Wolinsky_1992",-1.29495329079612,0.246028776617413,-5.26342206224859,1.41398464223083e-07
"reported.exposure_HSX:FTM","Omitting Wolinsky_1992",-0.591117966803591,0.231310477429044,-2.55551747319756,0.0106030037498488
"reported.exposure_HSX:nodirection","Omitting Wolinsky_1992",0.556823192600439,0.602987885047964,0.923440099557136,0.355777902754526
"reported.exposure_MSM","Omitting Wolinsky_1992",0.476926487692226,0.210637179901456,2.26420847409441,0.0235612956369288
"reported.exposure_MTC:IntraP","Omitting Wolinsky_1992",0.292780137555475,0.394665660346896,0.741843456302056,0.458182187794198
"reported.exposure_MTC:notiming","Omitting Wolinsky_1992",-0.117311365248332,0.510940001921523,-0.229599101278334,0.818403305296626
"reported.exposure_MTC:PostP","Omitting Wolinsky_1992",-0.223816057820126,0.930379605113407,-0.240564234845673,0.809892872640727
"reported.exposure_MTC:PreP","Omitting Wolinsky_1992",-0.260689181427643,0.389703608435011,-0.668942180121273,0.503532362046735
"reported.exposure_PWID","Omitting Wolinsky_1992",0.781579406280535,0.330226447938965,2.36679833235221,0.0179427067929588
"(Intercept)1","Omitting Briant_1995",-1.26696252967759,0.241971170002224,-5.23600613108558,1.64088504010192e-07
"reported.exposure_HSX:FTM1","Omitting Briant_1995",-0.587915105966538,0.230492257570585,-2.55069351206514,0.0107508822291929
"reported.exposure_HSX:nodirection1","Omitting Briant_1995",0.557598887782417,0.599802527128085,0.92963744326363,0.352558833909354
"reported.exposure_MSM1","Omitting Briant_1995",0.477956835201146,0.207331075290307,2.30528315416252,0.021150720374448
"reported.exposure_MTC:IntraP1","Omitting Briant_1995",0.350641547714371,0.38855627628351,0.902421525829439,0.366832990560967
"reported.exposure_MTC:notiming1","Omitting Briant_1995",-0.628015700045238,0.526967956958646,-1.19175310709551,0.233358067676961
"reported.exposure_MTC:PostP1","Omitting Briant_1995",-0.141034537262386,0.921160068600528,-0.153105352771807,0.878315194747275
"reported.exposure_MTC:PreP1","Omitting Briant_1995",-0.260101399952238,0.381666289063181,-0.681489058388338,0.49556208779069
"reported.exposure_PWID1","Omitting Briant_1995",0.758650706880033,0.324201589273346,2.34005856843714,0.0192807160249781
"(Intercept)2","Omitting Poss_1995",-1.40352872556997,0.247155596061479,-5.67872525621813,1.35702241700603e-08
"reported.exposure_HSX:FTM2","Omitting Poss_1995",-0.543656942457907,0.231778091171576,-2.34559245746596,0.0189968663483066
"reported.exposure_HSX:nodirection2","Omitting Poss_1995",0.601694382140691,0.600883460681603,1.00134954864321,0.316657846033653
"reported.exposure_MSM2","Omitting Poss_1995",0.53953027401831,0.209335775669491,2.57734385005525,0.00995628543552268
"reported.exposure_MTC:IntraP2","Omitting Poss_1995",0.328108092277248,0.385446513116589,0.851241562997361,0.394635179029207
"reported.exposure_MTC:notiming2","Omitting Poss_1995",-0.145583889569933,0.49143118454849,-0.296244711665358,0.767043205439859
"reported.exposure_MTC:PostP2","Omitting Poss_1995",-0.212000747347144,0.91523333656188,-0.23163573580431,0.816820949115318
"reported.exposure_MTC:PreP2","Omitting Poss_1995",-0.236967869896448,0.378655713393279,-0.625813533283014,0.531437254136115
"reported.exposure_PWID2","Omitting Poss_1995",0.85994702829034,0.325473379920495,2.6421424341997,0.00823834021973998
"(Intercept)3","Omitting Wade_1998",-1.2809895590326,0.244909827135315,-5.23045389405647,1.69094347012621e-07
"reported.exposure_HSX:FTM3","Omitting Wade_1998",-0.589564857246373,0.230995396141429,-2.5522796864982,0.010702056975584
"reported.exposure_HSX:nodirection3","Omitting Wade_1998",0.543553608666189,0.601621544677774,0.903480956549376,0.366270690764737
"reported.exposure_MSM3","Omitting Wade_1998",0.466749503362491,0.209477977981881,2.22815547418957,0.0258701490846777
"reported.exposure_MTC:IntraP3","Omitting Wade_1998",0.309251023188472,0.391733175325894,0.789443025679909,0.429853117096649
"reported.exposure_MTC:notiming3","Omitting Wade_1998",-0.353217612359893,0.504840419193466,-0.699661910835495,0.484138468771358
"reported.exposure_MTC:PostP3","Omitting Wade_1998",-0.228363796998366,0.925475435961656,-0.246752953265663,0.805099422577399
"reported.exposure_MTC:PreP3","Omitting Wade_1998",-0.230645387803856,0.389970662099294,-0.591442921788637,0.55422368864061
"reported.exposure_PWID3","Omitting Wade_1998",0.768337720627431,0.327934039077109,2.34296422167619,0.0191312175893353
"(Intercept)4","Omitting Long_2000",-1.36146979950191,0.249477238500249,-5.45729064377369,4.83454652463501e-08
"reported.exposure_HSX:FTM4","Omitting Long_2000",-0.411652253151062,0.237857944177002,-1.73066430291153,0.0835116555666858
"reported.exposure_HSX:nodirection4","Omitting Long_2000",0.617308774308265,0.605300669850744,1.01983824742914,0.30780518047961
"reported.exposure_MSM4","Omitting Long_2000",0.540149577817029,0.214396823226971,2.51939170407017,0.0117557796905446
"reported.exposure_MTC:IntraP4","Omitting Long_2000",0.371035541813445,0.401395470522246,0.924364047583047,0.355296806702553
"reported.exposure_MTC:notiming4","Omitting Long_2000",-0.18353931419921,0.504996575750082,-0.363446650953217,0.716271258372884
"reported.exposure_MTC:PostP4","Omitting Long_2000",-0.162831207891978,0.933878956161467,-0.174360078271026,0.861582486615984
"reported.exposure_MTC:PreP4","Omitting Long_2000",-0.157076445660746,0.415016451561647,-0.378482455501921,0.705072224640012
"reported.exposure_PWID4","Omitting Long_2000",0.847897021329713,0.333888447129399,2.53946199282873,0.0111023107642335
"(Intercept)5","Omitting Dickover_2001",-1.28725444284593,0.244912215763084,-5.25598300123646,1.47235890299971e-07
"reported.exposure_HSX:FTM5","Omitting Dickover_2001",-0.593137290632384,0.231056049965593,-2.56707102333268,0.0102561603090947
"reported.exposure_HSX:nodirection5","Omitting Dickover_2001",0.561763113659378,0.602102911020212,0.933001823072933,0.350819027070267
"reported.exposure_MSM5","Omitting Dickover_2001",0.480760578247754,0.209634223057506,2.29333059858206,0.021828978885255
"reported.exposure_MTC:IntraP5","Omitting Dickover_2001",0.511441638499764,0.424765899920463,1.20405531281002,0.228568200341772
"reported.exposure_MTC:notiming5","Omitting Dickover_2001",-0.164104283223516,0.50053879187257,-0.327855274932007,0.743021091656469
"reported.exposure_MTC:PostP5","Omitting Dickover_2001",-0.213705194037644,0.927042805184466,-0.230523545237072,0.817684969646945
"reported.exposure_MTC:PreP5","Omitting Dickover_2001",-0.269424180813098,0.410073042229736,-0.657015099915197,0.511171207316897
"reported.exposure_PWID5","Omitting Dickover_2001",0.795503765016232,0.329153616134541,2.41681611874217,0.015656924347521
"(Intercept)6","Omitting Delwart_2002",-1.30596409685183,0.246340096588461,-5.30146782816925,1.14875293965115e-07
"reported.exposure_HSX:FTM6","Omitting Delwart_2002",-0.577361859139696,0.23165053694073,-2.49238299537125,0.0126889129651186
"reported.exposure_HSX:nodirection6","Omitting Delwart_2002",0.552607091835668,0.602559098392183,0.91710023682357,0.359090116983436
"reported.exposure_MSM6","Omitting Delwart_2002",0.479966559992121,0.21048942528106,2.28024072635116,0.0225934151146018
"reported.exposure_MTC:IntraP6","Omitting Delwart_2002",0.292395227511344,0.394213495532531,0.741717954420501,0.458258239244627
"reported.exposure_MTC:notiming6","Omitting Delwart_2002",-0.227293684239568,0.497935201307772,-0.456472415773389,0.648050302163523
"reported.exposure_MTC:PostP6","Omitting Delwart_2002",-0.236205643352999,0.928820211660947,-0.254307174184559,0.799258257762417
"reported.exposure_MTC:PreP6","Omitting Delwart_2002",-0.270306338400732,0.389710389854674,-0.693608242011539,0.487927923554327
"reported.exposure_PWID6","Omitting Delwart_2002",0.784954835029739,0.329499195665111,2.38226631614462,0.0172064487843221
"(Intercept)7","Omitting Nowak_2002",-1.28835837957513,0.245519535599748,-5.24747807309089,1.54195394772171e-07
"reported.exposure_HSX:FTM7","Omitting Nowak_2002",-0.591343059956009,0.231108113792489,-2.55872911708749,0.0105055566704904
"reported.exposure_HSX:nodirection7","Omitting Nowak_2002",0.554232075539586,0.602026891593994,0.920610164227281,0.357253993618405
"reported.exposure_MSM7","Omitting Nowak_2002",0.474417975110915,0.209594028140197,2.26350902895753,0.0236043286629169
"reported.exposure_MTC:IntraP7","Omitting Nowak_2002",0.294553134902598,0.392592078253972,0.750277835998638,0.453087388550539
"reported.exposure_MTC:notiming7","Omitting Nowak_2002",-0.325053320341962,0.520552622044793,-0.624438926203298,0.532339367693182
"reported.exposure_MTC:PostP7","Omitting Nowak_2002",-0.219966475031093,0.927517154872674,-0.237156233580703,0.812535588347998
"reported.exposure_MTC:PreP7","Omitting Nowak_2002",-0.257327629709478,0.387580134952458,-0.663934001006121,0.506732553384675
"reported.exposure_PWID7","Omitting Nowak_2002",0.774107985604279,0.32845957274872,2.35678314724136,0.0184340081799999
"(Intercept)8","Omitting Long_2002",-1.29118041722977,0.244395655462514,-5.28315617880456,1.26977052610681e-07
"reported.exposure_HSX:FTM8","Omitting Long_2002",-0.600335132449433,0.231159998178812,-2.59705458201747,0.00940269813942073
"reported.exposure_HSX:nodirection8","Omitting Long_2002",0.536628891847387,0.601528917081549,0.892108220583909,0.372334929091269
"reported.exposure_MSM8","Omitting Long_2002",0.46654897643425,0.209027110220376,2.23200223139654,0.0256148154552435
"reported.exposure_MTC:IntraP8","Omitting Long_2002",0.283971373352947,0.391012573654019,0.726246142673187,0.467687889374546
"reported.exposure_MTC:notiming8","Omitting Long_2002",-0.250216359311717,0.494829548283813,-0.505661717614735,0.613094147195282
"reported.exposure_MTC:PostP8","Omitting Long_2002",-0.248290038785769,0.924561490994013,-0.268548972896143,0.78827678380825
"reported.exposure_MTC:PreP8","Omitting Long_2002",-0.276111486356927,0.384917203215306,-0.71732695772104,0.473172377226388
"reported.exposure_PWID8","Omitting Long_2002",0.769709795449035,0.327266222507011,2.35193778799627,0.0186758981987502
"(Intercept)9","Omitting Learn_2002",-1.30335834031454,0.248971444330882,-5.23497119847361,1.65010592503638e-07
"reported.exposure_HSX:FTM9","Omitting Learn_2002",-0.591250829720647,0.231375830495745,-2.55536988653411,0.0106075010533893
"reported.exposure_HSX:nodirection9","Omitting Learn_2002",0.552532766471796,0.603129844403263,0.91610914564918,0.359609651418484
"reported.exposure_MSM9","Omitting Learn_2002",0.479433658584576,0.21486183933735,2.23135788124678,0.025657432448159
"reported.exposure_MTC:IntraP9","Omitting Learn_2002",0.288371138669335,0.394901064818744,0.730236417067386,0.465245686000622
"reported.exposure_MTC:notiming9","Omitting Learn_2002",-0.22376997256709,0.501499803786969,-0.446201515688219,0.655451688172826
"reported.exposure_MTC:PostP9","Omitting Learn_2002",-0.237682704807857,0.931049611685291,-0.255284682819026,0.798503229446878
"reported.exposure_MTC:PreP9","Omitting Learn_2002",-0.275444298135096,0.39503036134861,-0.697273741680881,0.485631497710788
"reported.exposure_PWID9","Omitting Learn_2002",0.784420357741602,0.330877763505069,2.37072551939437,0.0177532096850005
"(Intercept)10","Omitting Renjifo_2003",-1.30129320989638,0.240669977003447,-5.40696112618044,6.41030494020029e-08
"reported.exposure_HSX:FTM10","Omitting Renjifo_2003",-0.585104946040521,0.230552894351,-2.53783387837128,0.0111540916162068
"reported.exposure_HSX:nodirection10","Omitting Renjifo_2003",0.543539671095377,0.599771716247405,0.906244253223785,0.364806584735835
"reported.exposure_MSM10","Omitting Renjifo_2003",0.477627737261478,0.205992078562289,2.31867041002283,0.0204129141273266
"reported.exposure_MTC:IntraP10","Omitting Renjifo_2003",0.38461901651331,0.387080597462866,0.993640650123797,0.32039784640903
"reported.exposure_MTC:notiming10","Omitting Renjifo_2003",-0.245688503502765,0.488513480074833,-0.502930857640058,0.61501288506703
"reported.exposure_MTC:PostP10","Omitting Renjifo_2003",-0.204066716877546,0.913533552239208,-0.223381742659969,0.823238412595821
"reported.exposure_MTC:PreP10","Omitting Renjifo_2003",0.0604893198453807,0.421672967732723,0.143450788820121,0.88593417402555
"reported.exposure_PWID10","Omitting Renjifo_2003",0.77195261583033,0.322215894142979,2.39576206469749,0.016585852997716
"(Intercept)11","Omitting Verhofstede_2003",-1.3287348445318,0.244268883620301,-5.4396402228506,5.33882747916878e-08
"reported.exposure_HSX:FTM11","Omitting Verhofstede_2003",-0.584235507575588,0.231202503360719,-2.52694282753535,0.0115060231749462
"reported.exposure_HSX:nodirection11","Omitting Verhofstede_2003",0.592880131024258,0.600170006730307,0.987853648759018,0.32322432867529
"reported.exposure_MSM11","Omitting Verhofstede_2003",0.503075733214476,0.208709775179871,2.41040810273939,0.0159346851106829
"reported.exposure_MTC:IntraP11","Omitting Verhofstede_2003",0.214563567047176,0.413978369537957,0.518296565317291,0.604251368973372
"reported.exposure_MTC:notiming11","Omitting Verhofstede_2003",-0.146784939505492,0.496742077577226,-0.295495280410733,0.767615557155795
"reported.exposure_MTC:PostP11","Omitting Verhofstede_2003",-0.0941387945971598,0.925116910930567,-0.101758808519095,0.918948121907787
"reported.exposure_MTC:PreP11","Omitting Verhofstede_2003",-0.623925812037529,0.408110689755951,-1.52881516632322,0.126310271487153
"reported.exposure_PWID11","Omitting Verhofstede_2003",0.793324658273948,0.326158845647726,2.43232605480458,0.015002195483723
"(Intercept)12","Omitting Sagar_2003",-1.30883541148308,0.253011486216131,-5.17302764019586,2.30330925378549e-07
"reported.exposure_HSX:FTM12","Omitting Sagar_2003",-0.590159836062927,0.234661115595159,-2.51494515640623,0.0119050901648983
"reported.exposure_HSX:nodirection12","Omitting Sagar_2003",0.568901476699348,0.60579218898041,0.939103354331538,0.347677682244857
"reported.exposure_MSM12","Omitting Sagar_2003",0.485613754804775,0.219255954546199,2.21482584502603,0.0267720205377982
"reported.exposure_MTC:IntraP12","Omitting Sagar_2003",0.302370744586244,0.423997725157633,0.713142374699838,0.475757660381118
"reported.exposure_MTC:notiming12","Omitting Sagar_2003",-0.195414906350202,0.519648144642692,-0.376052350739303,0.70687797724075
"reported.exposure_MTC:PostP12","Omitting Sagar_2003",-0.224172657604758,0.942004308573691,-0.237974131927467,0.81190115764158
"reported.exposure_MTC:PreP12","Omitting Sagar_2003",-0.257062430024809,0.409200986839413,-0.628205792000427,0.529869136513061
"reported.exposure_PWID12","Omitting Sagar_2003",0.798320599758983,0.340412054140971,2.34515960891439,0.0190189359730111
"(Intercept)13","Omitting Derdeyn_2004",-1.26058948243156,0.244314263450969,-5.15970481880827,2.47339500785011e-07
"reported.exposure_HSX:FTM13","Omitting Derdeyn_2004",-0.589801486739267,0.231314182534258,-2.54978523269716,0.0107789297547762
"reported.exposure_HSX:nodirection13","Omitting Derdeyn_2004",0.50352320489267,0.601725243327019,0.836799204415329,0.402705444682388
"reported.exposure_MSM13","Omitting Derdeyn_2004",0.444921171218746,0.208935564124097,2.12946595800457,0.0332157284566211
"reported.exposure_MTC:IntraP13","Omitting Derdeyn_2004",0.237367394866084,0.39077513020279,0.607427076392769,0.543567524020938
"reported.exposure_MTC:notiming13","Omitting Derdeyn_2004",-0.270079148337738,0.491580018508297,-0.54941034657449,0.582723875179281
"reported.exposure_MTC:PostP13","Omitting Derdeyn_2004",-0.346222968280566,0.924317123701186,-0.374571626342057,0.707979078088584
"reported.exposure_MTC:PreP13","Omitting Derdeyn_2004",-0.301600858602964,0.382244905457863,-0.789025188554699,0.430097284754256
"reported.exposure_PWID13","Omitting Derdeyn_2004",0.757889920393779,0.325785326354079,2.32634762552217,0.0200000132471136
"(Intercept)14","Omitting Sagar_2004",-1.25356851497255,0.243743572802611,-5.14298079969359,2.70413268318548e-07
"reported.exposure_HSX:FTM14","Omitting Sagar_2004",-0.569239213689848,0.237321826772117,-2.39859612338332,0.0164580561904741
"reported.exposure_HSX:nodirection14","Omitting Sagar_2004",0.504598785599988,0.601102644459748,0.839455274820002,0.401213877057628
"reported.exposure_MSM14","Omitting Sagar_2004",0.451715727090702,0.209116187232252,2.16011841584033,0.0307635037303384
"reported.exposure_MTC:IntraP14","Omitting Sagar_2004",0.352184009262685,0.392186377367707,0.898001637962257,0.369184676221265
"reported.exposure_MTC:notiming14","Omitting Sagar_2004",-0.247003890629766,0.493659675070112,-0.500352577096124,0.616826838997445
"reported.exposure_MTC:PostP14","Omitting Sagar_2004",-0.2574842759125,0.920550913866625,-0.27970671913298,0.779702522896055
"reported.exposure_MTC:PreP14","Omitting Sagar_2004",-0.23619242558858,0.383855351936915,-0.615316223668017,0.538345905431061
"reported.exposure_PWID14","Omitting Sagar_2004",0.474794847806447,0.347628365517847,1.36581158185744,0.171998110219605
"(Intercept)15","Omitting Ritola_2004",-1.316594433258,0.245493790280549,-5.36304576891089,8.18302609827147e-08
"reported.exposure_HSX:FTM15","Omitting Ritola_2004",-0.544557955972193,0.232607641350265,-2.34110088908123,0.0192269706825061
"reported.exposure_HSX:nodirection15","Omitting Ritola_2004",0.55334277927356,0.601788746187159,0.919496721697531,0.35783581956582
"reported.exposure_MSM15","Omitting Ritola_2004",0.512981269414054,0.214233086320981,2.39450067318484,0.0166430128969297
"reported.exposure_MTC:IntraP15","Omitting Ritola_2004",0.250310911394021,0.392311006322925,0.638042031346887,0.523446319901798
"reported.exposure_MTC:notiming15","Omitting Ritola_2004",-0.172636800101708,0.493653191786114,-0.349712719322408,0.726554307087433
"reported.exposure_MTC:PostP15","Omitting Ritola_2004",-0.252985159311665,0.922715211507582,-0.274174692425763,0.783950375707005
"reported.exposure_MTC:PreP15","Omitting Ritola_2004",-0.382390955882269,0.393410239336635,-0.971990349125263,0.331055349778279
"reported.exposure_PWID15","Omitting Ritola_2004",0.795372767144886,0.327301984855791,2.43008843192725,0.0150951392556749
"(Intercept)16","Omitting Gottlieb_2008",-1.34735543975335,0.256082500374274,-5.26141160674445,1.42953610400787e-07
"reported.exposure_HSX:FTM16","Omitting Gottlieb_2008",-0.587274041900895,0.231643950601267,-2.53524445761064,0.0112368879825161
"reported.exposure_HSX:nodirection16","Omitting Gottlieb_2008",0.543012265395459,0.603360271385609,0.899980146436287,0.368130816268836
"reported.exposure_MSM16","Omitting Gottlieb_2008",0.45485224983989,0.214143854558696,2.12404997928725,0.0336659645556443
"reported.exposure_MTC:IntraP16","Omitting Gottlieb_2008",0.288066893922569,0.395111042268758,0.729078317498966,0.465953756965775
"reported.exposure_MTC:notiming16","Omitting Gottlieb_2008",-0.20440500976249,0.499882874543107,-0.408905806083708,0.68260878798323
"reported.exposure_MTC:PostP16","Omitting Gottlieb_2008",-0.234029854199983,0.93150971029072,-0.251237160079569,0.801630756101778
"reported.exposure_MTC:PreP16","Omitting Gottlieb_2008",-0.286051220183198,0.390814282733626,-0.731936453760996,0.464207354873735
"reported.exposure_PWID16","Omitting Gottlieb_2008",0.789876246630072,0.33066197289895,2.38877255737979,0.0169047640293654
"(Intercept)17","Omitting Keele_2008",-1.31800644243707,0.253662302015186,-5.19590980593628,2.03721019307777e-07
"reported.exposure_HSX:FTM17","Omitting Keele_2008",-0.585261958404458,0.239295708370719,-2.4457687201718,0.0144543689237255
"reported.exposure_HSX:nodirection17","Omitting Keele_2008",0.550521942536981,0.602595720264227,0.91358422242957,0.360935359914605
"reported.exposure_MSM17","Omitting Keele_2008",0.450649592379336,0.21684003183557,2.07825828360449,0.0376855764915284
"reported.exposure_MTC:IntraP17","Omitting Keele_2008",0.27718528647512,0.392488852808867,0.706224608651759,0.480048469069197
"reported.exposure_MTC:notiming17","Omitting Keele_2008",-0.205847548044211,0.497615314356918,-0.413668032524749,0.679117241711635
"reported.exposure_MTC:PostP17","Omitting Keele_2008",-0.2603125906595,0.926484473777941,-0.280968109047763,0.778734860219084
"reported.exposure_MTC:PreP17","Omitting Keele_2008",-0.267639155171664,0.386518985549459,-0.692434693191588,0.488664384978042
"reported.exposure_PWID17","Omitting Keele_2008",0.755162454246391,0.330943424754872,2.28184758408703,0.0224983403370061
"(Intercept)18","Omitting Kwiek_2008",-1.26057780878669,0.240304079558348,-5.24576116686614,1.55638414151744e-07
"reported.exposure_HSX:FTM18","Omitting Kwiek_2008",-0.593133542507082,0.22951423420263,-2.58429959504571,0.00975769930927451
"reported.exposure_HSX:nodirection18","Omitting Kwiek_2008",0.460041467393393,0.602813292695774,0.763157470095082,0.44536948935743
"reported.exposure_MSM18","Omitting Kwiek_2008",0.444118412446142,0.206012805102407,2.15578061871142,0.0311007995603047
"reported.exposure_MTC:IntraP18","Omitting Kwiek_2008",-0.302345677269877,0.493126018943932,-0.613120512110422,0.539796658220079
"reported.exposure_MTC:notiming18","Omitting Kwiek_2008",-0.236466713943828,0.491223601976159,-0.481383046320532,0.630244283795809
"reported.exposure_MTC:PostP18","Omitting Kwiek_2008",-0.406259010961738,0.913879279764621,-0.444543409569778,0.656649751427872
"reported.exposure_MTC:PreP18","Omitting Kwiek_2008",-0.36168528394396,0.427094633679895,-0.846850452855469,0.397078482331491
"reported.exposure_PWID18","Omitting Kwiek_2008",0.753832721250762,0.322447565148718,2.3378459096228,0.0193952430619548
"(Intercept)19","Omitting SalazarGonzalez_2008",-1.31225334034876,0.25197105328754,-5.20795275182371,1.90935525259538e-07
"reported.exposure_HSX:FTM19","Omitting SalazarGonzalez_2008",-0.655657558492558,0.235977787530159,-2.7784715051147,0.00546153032694742
"reported.exposure_HSX:nodirection19","Omitting SalazarGonzalez_2008",0.548076030671378,0.603556402409797,0.908077569027675,0.363837240609662
"reported.exposure_MSM19","Omitting SalazarGonzalez_2008",0.473753563984725,0.212531047660084,2.22910284968073,0.0258070623610341
"reported.exposure_MTC:IntraP19","Omitting SalazarGonzalez_2008",0.282206166727402,0.395588800585513,0.713382599076887,0.475609037759913
"reported.exposure_MTC:notiming19","Omitting SalazarGonzalez_2008",-0.220740255751077,0.501989675451468,-0.439730668867946,0.660132187273317
"reported.exposure_MTC:PostP19","Omitting SalazarGonzalez_2008",-0.24125124835904,0.931961965392128,-0.258863834917911,0.795740302819821
"reported.exposure_MTC:PreP19","Omitting SalazarGonzalez_2008",-0.283421432686101,0.39024458409527,-0.726266152656996,0.467675624787708
"reported.exposure_PWID19","Omitting SalazarGonzalez_2008",0.781663434879557,0.332505044396858,2.35083180857434,0.0187314985889624
"(Intercept)20","Omitting Abrahams_2009",-1.28583631479265,0.266720389088545,-4.82091496336929,1.42901267552494e-06
"reported.exposure_HSX:FTM20","Omitting Abrahams_2009",-0.80654605227492,0.255628249087004,-3.15515227740111,0.00160414355888151
"reported.exposure_HSX:nodirection20","Omitting Abrahams_2009",0.52595101961625,0.605780674107215,0.868220202619346,0.385273796555798
"reported.exposure_MSM20","Omitting Abrahams_2009",0.443135861517917,0.21790784968829,2.03359292541232,0.0419926557259279
"reported.exposure_MTC:IntraP20","Omitting Abrahams_2009",0.249492370448698,0.401814012972921,0.620915056204153,0.534655514232107
"reported.exposure_MTC:notiming20","Omitting Abrahams_2009",-0.239002627082334,0.510461387587999,-0.468209022060718,0.639635120928658
"reported.exposure_MTC:PostP20","Omitting Abrahams_2009",-0.265202894345479,0.94159405306616,-0.281653111000314,0.778209511384699
"reported.exposure_MTC:PreP20","Omitting Abrahams_2009",-0.314770091858921,0.397246268007894,-0.792380236666353,0.428138999554301
"reported.exposure_PWID20","Omitting Abrahams_2009",0.752259095050288,0.339400788212154,2.21643296414522,0.0266618641870557
"(Intercept)21","Omitting Kearney_2009",-1.3060241080888,0.24510846938074,-5.32835161260821,9.91081193196075e-08
"reported.exposure_HSX:FTM21","Omitting Kearney_2009",-0.582774435727103,0.231337874873153,-2.51914839300157,0.011763906664233
"reported.exposure_HSX:nodirection21","Omitting Kearney_2009",0.559422351892796,0.601621866942884,0.929857079057775,0.352445088311644
"reported.exposure_MSM21","Omitting Kearney_2009",0.467438457273649,0.209732453222199,2.2287368983303,0.0258314156562952
"reported.exposure_MTC:IntraP21","Omitting Kearney_2009",0.322642000660208,0.392696908290098,0.82160565527514,0.411301369620524
"reported.exposure_MTC:notiming21","Omitting Kearney_2009",-0.217512660970868,0.497095413548656,-0.437567225611865,0.661700033884914
"reported.exposure_MTC:PostP21","Omitting Kearney_2009",-0.179677412729879,0.927184501260663,-0.193788196939851,0.846341729299473
"reported.exposure_MTC:PreP21","Omitting Kearney_2009",-0.263770511001824,0.386730461378446,-0.68205258531136,0.495205700503799
"reported.exposure_PWID21","Omitting Kearney_2009",0.786763419433044,0.329139090051147,2.39036760814641,0.0168315162889572
"(Intercept)22","Omitting SalazarGonzalez_2009",-1.29238126268614,0.245599239655721,-5.2621549826367,1.42376669447124e-07
"reported.exposure_HSX:FTM22","Omitting SalazarGonzalez_2009",-0.59176859365985,0.231115421019128,-2.56048943445826,0.0104524841686549
"reported.exposure_HSX:nodirection22","Omitting SalazarGonzalez_2009",0.546545498945168,0.602344762572352,0.90736324594425,0.364214738821686
"reported.exposure_MSM22","Omitting SalazarGonzalez_2009",0.476235934759385,0.209909395740094,2.2687690233221,0.023282375651978
"reported.exposure_MTC:IntraP22","Omitting SalazarGonzalez_2009",0.289901567004126,0.392979461210742,0.737701573794618,0.460695815556154
"reported.exposure_MTC:notiming22","Omitting SalazarGonzalez_2009",-0.232326158635421,0.4973393714245,-0.467138079114837,0.640401091792509
"reported.exposure_MTC:PostP22","Omitting SalazarGonzalez_2009",-0.242414070759628,0.928153606513192,-0.261178827576083,0.79395460475963
"reported.exposure_MTC:PreP22","Omitting SalazarGonzalez_2009",-0.274885741487158,0.387426935136002,-0.709516341166788,0.478004114462444
"reported.exposure_PWID22","Omitting SalazarGonzalez_2009",0.778939095745377,0.329112428106289,2.36678724114853,0.0179432444722189
"(Intercept)23","Omitting Novitsky_2009",-1.30855017799669,0.247964410692296,-5.27716930967362,1.31194662703146e-07
"reported.exposure_HSX:FTM23","Omitting Novitsky_2009",-0.616412769317214,0.233734210960616,-2.63723811240058,0.00835841375561248
"reported.exposure_HSX:nodirection23","Omitting Novitsky_2009",0.554623611536471,0.603338566735485,0.919257680703889,0.357960807410083
